รถยนต์PASSENGER CAR/PICK UP,,,image link
A25,"บริษัท โอโมดา แอนด์ เจคู (ประเทศไทย) จำกัด
OMODA & JAECOO (Thailand) CO.,LTD.","เชอรี่
CHERY",https://bims47.motorshow.in.th/wp-content/uploads/2026/03/Chery-logo.jpg
A26,"บริษัท ไทยเหลียน จำกัด
TAILIAN TRADING CO., LTD.","ฟอร์ติง
FORTHING",https://bims47.motorshow.in.th/wp-content/uploads/2026/03/logo-forthing.jpg
A27,"บริษัท คิง เจน จำกัด (มหาชน)
King Gen Public Company Limited","ฟาไรซอน
FARIZON",https://bims47.motorshow.in.th/wp-content/uploads/2026/03/A15-1-Farizon-logo.jpg
A28,"บริษัท ซูซูกิ มอเตอร์ (ประเทศไทย) จำกัด
SUZUKI MOTOR (THAILAND) CO.,LTD.","ซูซูกิ
SUZUKI",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/30.-SUZUKI.png
M2,"บริษัท แม็คซัส มอเตอร์ (ไทยแลนด์) จำกัด
MAXUS MOTOR (THAILAND) COMPANY LIMITED","แม็คซัส
MAXUS",https://bims47.motorshow.in.th/wp-content/uploads/2026/03/maxus-logo.jpg
M4,"บริษัท ริดดารา ออโต้โมบาย (ประเทศไทย) จำกัด
RIDDARA AUTOMOBILE (THAILAND) CO.,LTD.","ริดดารา
RIDDARA",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/logo-geely-riddara.jpg
รถจักรยานยนต์MOTORCYCLE,,,
A29,"บริษัท ซูซูกิ โมโตเซลส์ คอร์ปอเรชั่น (ประเทศไทย) จำกัด
SUZUKI MOTORSALES CORPORATION (THAILAND) CO.,LTD.","ซูซุกิ โมโตเซลส์
SUZUKI MOTORSALES",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/SUZUKI-M.jpg
M1,"บริษัท ไทย ฮอนด้า จำกัด
THAI HONDA CO., LTD.","ไทย ฮอนด้า
HONDA",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/3.-Honda-Moto.png
M3,"บริษัท ไทยยามาฮ่า มอเตอร์ จำกัด
THAI YAMAHA MOTOR COMPANY LIMITED","ยามาฮ่า
YAMAHA",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/M3-yamaha.jpg
M5,"บริษัท ฮาร์เลย์-เดวิดสัน (ประเทศไทย) จำกัด
HARLEY - DAVIDSON (THAILAND) COMPANY LIMITED","ฮาร์เลย์-เดวิดสัน
HARLEY - DAVIDSON",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/6.-HAELEY-DAVIDSON-Moto-1.png
M7,"บริษัท บีเอ็มดับเบิลยู (ประเทศไทย) จำกัด
BMW (THAILAND) CO.,LTD","บีเอ็มดับเบิ้ลยู-มอเตอร์ราด
MOTORRAD",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/5.-bmw-motorrad.jpg
M8,"บริษัท โรยัล เอ็นฟีลด์ (ไทยแลนด์) จำกัด
ROYAL ENFIELD (THAILAND) CO.,LTD.","โรยัล เอ็นฟีลด์
ROYAL ENFIELD",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/8.-ROYAL-ENFIELD-Moto.png
M10,"บริษัท ไทรอัมพ์ มอเตอร์ไซเคิลส์ (ไทยแลนด์) จำกัด
TRIUMPH MOTORCYCLES (THAILAND) LIMITED","ไทรอัมพ์
TRIUMPH",-
